url,image_url
https://vkusvill.ru/goods/napitok-ezhevika-gretskiy-orekh-s-prebiotikom-106909.html,https://img.vkusvill.ru/pim/images/site/site/57f9fb2c-31a6-4502-95d7-23e9e8f102ba.jpg
https://vkusvill.ru/goods/kisel-abrikosovyy-s-koritsey-250-ml-106612.html,https://img.vkusvill.ru/pim/images/site/cbbdc1c8-0f69-48cb-8a82-451f6b0e79d8.jpg?1745098077.8953
https://vkusvill.ru/goods/pivo-los-prosto-los-bezalkogolnoe-svetloe-nefiltr-330-ml-83178.html,https://img.vkusvill.ru/pim/images/site/83256ed3-2fe4-47dc-aac4-178ae997f506.jpg?1701992856.1371
https://vkusvill.ru/goods/sok-pryamogo-otzhima-iz-seldereya-300-ml-kafe-38493.html,https://img.vkusvill.ru/pim/images/site/site/f49fee8c-a608-4ae9-a8a5-0e55a798a817.jpg
https://vkusvill.ru/goods/apelsin-greypfrut-sok-pryamogo-otzhima-250-ml-frutkort-115635.html,https://img.vkusvill.ru/pim/images/site/site_BigWebP/c92695d0-16b9-471f-b42e-61249fd29b3f.webp
https://vkusvill.ru/goods/voda-mineralnaya-legenda-gor-arkhyz-gaz-500-ml-110491.html,https://img.vkusvill.ru/pim/images/site/site/05152254-37a6-46fb-b3e4-254a69b77296.jpg
https://vkusvill.ru/goods/napitok-chay-chernyy-shipovnik-myata-s-yablochnym-sokom-250-ml-110769.html,https://img.vkusvill.ru/pim/images/site/site/16055cfa-5922-430d-9f05-b5bc769c9b39.jpg
https://vkusvill.ru/goods/napitok-molochnyy-kofeynyy-raf-so-vkusom-karameli-105899.html,https://img.vkusvill.ru/pim/images/site/site/160af283-4429-4de4-bd39-c7893f62147e.jpg
https://vkusvill.ru/goods/sok-yabloko-grusha-1-l-1534.html,https://img.vkusvill.ru/pim/images/site/85d18677-0f64-4ede-af81-259bf041d3b9.jpg?1714053968.8298
https://vkusvill.ru/goods/voda-pitevaya-svyatoy-istochnik-gazirovannaya-1-5-l-33152.html,https://img.vkusvill.ru/pim/images/site/site/7fe33fb4-7505-4753-8394-3840b44b6b67.jpg
https://vkusvill.ru/goods/voda-mineralnaya-prirodnaya-pitevaya-stolovaya-vita-arkhyz-gazirovannaya-pet-1-5-l-33243.html,https://img.vkusvill.ru/pim/images/site/72610669-b04e-4f79-8869-de43e21e82ac.png?1712593151.3403
https://vkusvill.ru/goods/shariki-iz-tapioki-dlya-babl-ti-zam-200-g-97283.html,https://img.vkusvill.ru/pim/images/site/5d318589-12a9-4424-974b-115a76ec125a.jpg?1744329234.3382
https://vkusvill.ru/goods/voda-mineralnaya-tarkhanskaya-3-gazirovannaya-1-5-l-33215.html,https://img.vkusvill.ru/pim/images/site/site/9a80a491-c59a-45a2-b154-42afa41fe403.jpg
https://vkusvill.ru/goods/sok-tomatnyy-pryamogo-otzhima-s-solyu-1-l-64258.html,https://img.vkusvill.ru/pim/images/site/site/45f3ce77-7af4-459e-876a-2b7639fa0ab1.jpg
