ingredient,match_title,match_url,match_category,match_subcategory,score,reasons
Буженина,Сало бутербродное с чесноком,https://vkusvill.ru/goods/salo-buterbrodnoe-s-chesnokom-58024.html,"Колбаса, сосиски, деликатесы",Бекон и сало,1.1201,"{'title_overlap': 0.0, 'vec_sim': 0.3908, 'fuzzy': 0.2778}"
Буженина,"Шашлык из мяса бедра индейки, зам",https://vkusvill.ru/goods/shashlyk-iz-myasa-bedra-indeyki-zam-93884.html,"Мясо, птица",Для шашлыка и гриля,1.1174,"{'title_overlap': 0.0, 'vec_sim': 0.4175, 'fuzzy': 0.2439}"
Лаванда,"Лимонад ""Лаванда""",https://vkusvill.ru/goods/limonad-lavanda-320-ml-66395.html,Напитки,"Лимонады, газировка",2.3825,"{'title_overlap': 0.5, 'vec_sim': 0.5597, 'fuzzy': 0.5833}"
Лаванда,"Кофе раф лаванда в банке, кафе",https://vkusvill.ru/goods/kofe-raf-lavanda-v-banke-kafe-73098.html,Кафе,Напитки,2.3452,"{'title_overlap': 0.1667, 'vec_sim': 0.377, 'fuzzy': 1.0}"
Лаванда,Листы для стирки Dukes home wonders 3в1 аромат Лаванда,https://vkusvill.ru/goods/listy-dlya-stirki-dukes-home-wonders-3v1-aromat-lavanda-40-sht-111004.html,Гели и капсулы для стирки,Гели и капсулы для стирки,2.1007,"{'title_overlap': 0.1111, 'vec_sim': 0.272, 'fuzzy': 1.0}"
Лаванда,Гель для стирки Aroma Drop Лаванда и ваниль 2в1,https://vkusvill.ru/goods/gel-dlya-stirki-aroma-drop-lavanda-i-vanil-2v1-1-l-65018.html,Гели и капсулы для стирки,Гели и капсулы для стирки,2.0428,"{'title_overlap': 0.1111, 'vec_sim': 0.2398, 'fuzzy': 1.0}"
Лаванда,"Бальзам крымский ""Лаванда-ромашка""",https://vkusvill.ru/goods/balzam-krymskiy-lavanda-romashka-250-ml-97699.html,Напитки,"Компоты, кисели, сбитни",2.0172,"{'title_overlap': 0.25, 'vec_sim': 0.6972, 'fuzzy': 0.3415}"
Лаванда,"Чайный напиток в банке ""Лаванда""",https://vkusvill.ru/goods/chaynyy-napitok-v-banke-lavanda-111148.html,Чай и кофе,Сборы и травяные чаи,1.8998,"{'title_overlap': 0.2, 'vec_sim': 0.6452, 'fuzzy': 0.359}"
Лаванда,"Напиток чайный ""Чабрец и лаванда""",https://vkusvill.ru/goods/napitok-chaynyy-chabrets-i-lavanda-40830.html,Чай,Сборы и травяные чаи,1.8492,"{'title_overlap': 0.2, 'vec_sim': 0.6246, 'fuzzy': 0.35}"
Лаванда,Напиток чайный Каркаде,https://vkusvill.ru/goods/napitok-chaynyy-karkade-40-g-81330.html,Чай и кофе,Сборы и травяные чаи,1.4861,"{'title_overlap': 0.0, 'vec_sim': 0.5957, 'fuzzy': 0.2759}"
