ingredient,match_title,match_category,match_subcategory,match_id,score,reasons
Фарш,Фарш свинойб,"Мясо, птица",Фарш,1528.0,3.7998,"{'title_overlap': 0.5, 'vec_sim': 0.9999, 'fuzzy': 1.0}"
Фарш,Фарш говяжийб,"Мясо, птица",Фарш,1498.0,3.7998,"{'title_overlap': 0.5, 'vec_sim': 0.9999, 'fuzzy': 1.0}"
Фарш,Фарш Домашнийб,"Мясо, птица",Фарш,1494.0,3.7998,"{'title_overlap': 0.5, 'vec_sim': 0.9999, 'fuzzy': 1.0}"
Пиво светлое,"Пиво ""Бельгийское"" безалкогольное светлое нефильтр",Напитки,Безалкогольное пиво и вино,6637.0,3.6942,"{'title_overlap': 0.4, 'vec_sim': 0.9968, 'fuzzy': 1.0}"
Пиво светлое,"Пиво ""Вилл-Брау Вайзен"" безалкогольное светлое",Напитки,Безалкогольное пиво и вино,6644.0,3.6292,"{'title_overlap': 0.3333, 'vec_sim': 0.9977, 'fuzzy': 1.0}"
Пиво светлое,"Пиво ""Лось, просто лось"" безалкогольное светлое нефильтр",Напитки,Безалкогольное пиво и вино,6642.0,3.6285,"{'title_overlap': 0.3333, 'vec_sim': 0.9973, 'fuzzy': 1.0}"
Пеленгас,Апельсины,Фрукты,Цитрусовые,50.0,0.1412,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1412}"
Маракуйя,Маракуйя,Фрукты,Экзотические фрукты,4421.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Маракуйя,Маракуйя Olmish Premium мякоть с семечками замороженное,Замороженные ягоды,Замороженные ягоды,4422.0,3.1244,"{'title_overlap': 0.1429, 'vec_sim': 0.8231, 'fuzzy': 1.0}"
Маракуйя,"Чайный напиток ""Ананас, Маракуйя и Мята"", зам",Напитки,Основы для чая и лимонада,995.0,2.5767,"{'title_overlap': 0.1429, 'vec_sim': 0.5188, 'fuzzy': 1.0}"
Сироп ананасовый,Сок ананасовый восстановленный,Напитки,Соки,8117.0,1.9372,"{'title_overlap': 0.25, 'vec_sim': 0.2963, 'fuzzy': 0.7692}"
Сироп ананасовый,Сок Santal Ананасовый,Напитки,Соки,8199.0,1.9025,"{'title_overlap': 0.25, 'vec_sim': 0.2771, 'fuzzy': 0.7692}"
Сироп ананасовый,Кленовый сироп,Консервация,"Сиропы, пасты и сгущёнка",2954.0,1.8808,"{'title_overlap': 0.3333, 'vec_sim': 0.9152, 'fuzzy': 0.7333}"
Мясо куриное,Яйцо куриное С2,"Молочные продукты, яйцо",Яйцо,10124.0,2.7502,"{'title_overlap': 0.25, 'vec_sim': 0.7717, 'fuzzy': 0.7407}"
Мясо куриное,Яйцо куриное С1,"Молочные продукты, яйцо",Яйцо,10117.0,2.7488,"{'title_overlap': 0.25, 'vec_sim': 0.771, 'fuzzy': 0.7407}"
Мясо куриное,Яйцо куриное С1,"Молочные продукты, яйцо",Яйцо,10116.0,2.7488,"{'title_overlap': 0.25, 'vec_sim': 0.771, 'fuzzy': 0.7407}"
Хурма,Хурма,Хиты,Легенды ВкусВилла,2867.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Хурма,Хурма Персимон,Фрукты,Хурма,2873.0,3.7999,"{'title_overlap': 0.5, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Хурма,Хурма Шарон,Фрукты,Хурма,2876.0,3.7999,"{'title_overlap': 0.5, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Матча,Матча латте голубая,Чай и кофе,"Цикорий, матча и какао",4611.0,3.5678,"{'title_overlap': 0.3333, 'vec_sim': 0.9636, 'fuzzy': 1.0}"
Матча,Матча латте зелёная,Чай,Сборы и травяные чаи,4612.0,3.5659,"{'title_overlap': 0.3333, 'vec_sim': 0.9626, 'fuzzy': 1.0}"
Матча,"Айс Латте матча розовая ""Таро-Пинк"" 0.3, кафе",Напитки,Холодный чай и кофе,198.0,2.9281,"{'title_overlap': 0.1111, 'vec_sim': 0.7316, 'fuzzy': 1.0}"
Персик,Нектар Rich Персик,Соки и нектары,Соки и нектары,5531.0,3.4226,"{'title_overlap': 0.3333, 'vec_sim': 0.8829, 'fuzzy': 1.0}"
Персик,Персик сушеный,"Орехи, чипсы и снеки",Сухофрукты,6362.0,3.3263,"{'title_overlap': 0.5, 'vec_sim': 0.7368, 'fuzzy': 1.0}"
Персик,Персик сушеный,"Орехи, чипсы и снеки",Сухофрукты,6361.0,3.3263,"{'title_overlap': 0.5, 'vec_sim': 0.7368, 'fuzzy': 1.0}"
Зайчатина,Айран 2%,"Молочные продукты, яйцо",Кефир и кисломолочные продукты,151.0,0.1412,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1412}"
