product_id,product_title,match_ingredient,score,reasons
10116,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10117,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10117,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10117,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10118,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10118,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10118,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10119,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10119,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10119,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10120,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10120,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10120,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10121,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10121,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
